Player,Season,Competition_country,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type1,Type,Goal_assist
Cristiano Ronaldo,02-Mar,Portugal,Liga Portugal,Group Stage,07-10-2002,H,Sporting CP,Moreirense FC,WON,LW,34,1,Solo run,
Cristiano Ronaldo,02-Mar,Portugal,Liga Portugal,Group Stage,07-10-2002,H,Sporting CP,Moreirense FC,WON,LW,95,1,Header,Rui Jorge
Cristiano Ronaldo,02-Mar,Portugal,Liga Portugal,Group Stage,26-10-2002,A,Sporting CP,Boavista FC,LOST,,88,1,Right-footed shot,Carlos Martins
Cristiano Ronaldo,02-Mar,Portugal,Taca de Portugal Placard,Group Stage,24-11-2002,H,Sporting CP,CD Estarreja,WON,,67,1,Left-footed shot,Cesar Prates
Cristiano Ronaldo,02-Mar,Portugal,Taca de Portugal Placard,Group Stage,18-12-2002,H,Sporting CP,FC Oliveira do Hospital,WON,,13,0,,
Cristiano Ronaldo,03-Apr,England,Premier League,Group Stage,01-11-2003,H,Manchester United,Portsmouth FC,WON,RW,80,1,Direct free kick,
Cristiano Ronaldo,03-Apr,England,FA Cup,Group Stage,14-02-2004,H,Manchester United,Manchester City,WON,RW,74,1,Right-footed shot,
Cristiano Ronaldo,03-Apr,England,Premier League,Group Stage,20-03-2004,H,Manchester United,Tottenham Hotspur,WON,,89,1,Right-footed shot,
Cristiano Ronaldo,03-Apr,England,Premier League,Group Stage,10-04-2004,A,Manchester United,Birmingham City,LOST,,60,1,Header,Ryan Giggs
Cristiano Ronaldo,03-Apr,England,Premier League,Group Stage,15-05-2004,A,Manchester United,Aston Villa,LOST,,4,1,Right-footed shot,
Cristiano Ronaldo,03-Apr,England,FA Cup,Final,22-05-2004,H,Manchester United,Millwall FC,WON,RW,44,1,Header,Gary Neville
Cristiano Ronaldo,04-May,England,Premier League,Group Stage,04-12-2004,H,Manchester United,Southampton FC,WON,,87,1,Right-footed shot,Gary Neville
Cristiano Ronaldo,04-May,England,FA Cup,Group Stage,19-01-2005,A,Manchester United,Exeter City,LOST,,9,0,,Paul Scholes
Cristiano Ronaldo,04-May,England,Premier League,Group Stage,22-01-2005,H,Manchester United,Aston Villa,WON,,8,1,Right-footed shot,Louis Saha
Cristiano Ronaldo,04-May,England,Premier League,Group Stage,01-02-2005,A,Manchester United,Arsenal FC,LOST,RW,54,1,Left-footed shot,Ryan Giggs
